#{"t_start": 1717770471.9942374, "env_id": "Marlin-v1"}
r,l,t
-178.178116,200,77317.745683
-175.237566,200,77399.667389
-183.902733,200,77474.79542
-179.412896,200,77549.776205
-175.78282,200,77628.992158
-181.490556,200,77702.568615
-177.391918,200,77783.024951
-180.921099,200,77863.571997
-179.478564,200,77939.678634
-184.921185,200,78013.62534
-177.982428,200,78088.624349
-176.201427,200,78163.714096
-184.276109,200,78240.160896
-176.727182,200,78320.237349
-182.82644,200,78395.18014
-176.987208,200,78471.885394
-181.696174,200,78545.83524
-177.553182,200,78623.466029
-174.917465,200,78698.845269
-174.582389,200,78775.612917
-178.472207,200,78849.820387
-176.62851,200,78927.907941
-177.766098,200,79004.657369
-179.013483,200,79082.476341
-182.174158,200,79159.29771
-175.089452,200,79238.113621
-176.554687,200,79313.135762
-177.481078,200,79387.281287
-180.014495,200,79461.759301
-178.352726,200,79538.344427
-179.911761,200,80822.026178
-182.48308,200,80903.018103
-183.614627,200,80980.478029
-175.657223,200,81055.987863
-175.502132,200,81135.369219
-179.058876,200,81211.224312
-182.750872,200,81291.543127
-183.613615,200,81365.521872
-178.597352,200,81439.07319
-182.36859,200,81517.509285
-182.897588,200,81600.523657
-178.973841,200,81677.452345
-178.330693,200,81754.131871
-179.324285,200,81831.60372
-180.37121,200,81907.676877
-172.966467,200,81982.108418
-178.395505,200,82057.988669
-180.331851,200,82134.432595
-178.84876,200,82211.569916
-180.316857,200,82290.846157
-180.011185,200,82363.41399
-181.052236,200,82439.134805
-178.382263,200,82520.913264
-186.68738,200,82601.145136
-182.714095,200,82676.617074
-174.791042,200,82756.94324
-176.246042,200,82836.282788
-180.903847,200,82915.652474
-184.396331,200,82990.302671
-179.347486,200,83066.723627
-177.007282,200,83139.687983
-179.861326,200,83217.901524
-177.823936,200,83293.661915
-178.931668,200,83368.757544
-181.407756,200,83441.571309
-181.27083,200,83516.617713
-180.109633,200,83593.557907
-177.760209,200,83668.612979
-177.538402,200,83747.650854
-179.657802,200,83824.765147
-184.016115,200,83899.698045
-183.888921,200,83976.19126
-184.58297,200,84055.022774
-176.561619,200,84132.281361
-175.708224,200,84211.351572
-178.878414,200,84291.149474
-181.621421,200,84370.316964
-180.150122,200,84445.316359
-179.537878,200,84521.221915
-180.367416,200,84595.512008
-182.00518,200,85756.574544
-178.62186,200,85830.520239
-179.659844,200,85904.655808
-181.651014,200,85977.750765
-184.929768,200,86061.051606
-177.585188,200,86139.319038
-178.072199,200,86216.280876
-180.658381,200,86290.683382
-176.69039,200,86373.912797
-178.804307,200,86450.96652
-181.401682,200,86523.838103
-183.182205,200,86602.985352
